id,name,brand,seoToken,variantDataIds,stockIndicator,url,size
740481940_740497060,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt,"['740497060', '740497150', '740497240', '740497330', '740497420', '740497510']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
991627390_991622890,Oxford Slim Fit Shirt in Brown,French Connection,french-connection-oxford-slim-fit-shirt-in-brown,"['991622890', '991622980', '991623070', '991623160', '991623250']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
997838110,Oxford Slim Fit Shirt in Burgundy,French Connection,french-connection-oxford-slim-fit-shirt-in-burgundy,"['997829020', '997829110', '997829200', '997829290']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
991627390_991622350,Oxford Slim Fit Shirt in Cream,French Connection,french-connection-oxford-slim-fit-shirt-in-cream-991627390-991622350--1,"['991622530', '991622620', '991622710']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
759201670,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-759201670-1,['759195460'],InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
978389740,Twill Check Long Sleeve Shirt in Blue,Gazman,gazman-twill-check-long-sleeve-shirt-in-blue,"['978348250', '978348340', '978348430', '978348520', '978348610']",InStock,https://www.myer.com.au/p/gazman-twill-check-long-sleeve-shirt-in-blue,"['S', 'M', 'L', 'XL', 'XXL']"
934342660_934339780,Bentleigh Modern Fit Shirt in White,Cambridge,cambridge-bentleigh-modern-fit-shirt-in-white-934342660-934339780-1,"['934339780', '934339870', '934339960', '934340050', '934340140', '934340230', '934340320', '934340410', '934340500', '934340590']",InStock,https://www.myer.com.au/p/cambridge-bentleigh-modern-fit-shirt-in-white-934342660-934339780-1,"['38', '39', '40', '41', '42', '43', '44', '46', '48', '50']"
934342660_934338880,Bentleigh Modern Fit Shirt In Blue,Cambridge,cambridge-bentleigh-modern-fit-shirt-in-blue-934342660-934338880-1,"['934338880', '934338970', '934339060', '934339150', '934339330', '934339510', '934339690']",InStock,https://www.myer.com.au/p/cambridge-bentleigh-modern-fit-shirt-in-white-934342660-934339780-1,"['38', '39', '40', '41', '42', '43', '44', '46', '48', '50']"
978396220,Brushed Twill Check Long Sleeve Shirt in Navy,Gazman,gazman-brushed-twill-check-long-sleeve-shirt-in-navy,"['978380650', '978380740', '978380830', '978380920', '978381010']",InStock,https://www.myer.com.au/p/gazman-brushed-twill-check-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL']"
978395950,Brushed Twill Check Long Sleeve Shirt in Slate,Gazman,gazman-brushed-twill-check-long-sleeve-shirt-in-slate,"['978379300', '978379390', '978379480', '978379570', '978379660']",InStock,https://www.myer.com.au/p/gazman-brushed-twill-check-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL']"
978396310,Brushed Twill Check Long Sleeve Shirt in Red,Gazman,gazman-brushed-twill-check-long-sleeve-shirt-in-red,"['978381100', '978381190', '978381280', '978381370', '978381460']",InStock,https://www.myer.com.au/p/gazman-brushed-twill-check-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL']"
956984950,Vincent Long Sleeve Check Shirt in Navy,Reserve,reserve-vincent-long-sleeve-check-shirt-in-navy,"['956801080', '956801170', '956801260', '956801350', '956801440']",InStock,https://www.myer.com.au/p/reserve-vincent-long-sleeve-check-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956985040,Vincent Long Sleeve Check Shirt in Green,Reserve,reserve-vincent-long-sleeve-check-shirt-in-green,"['956754550', '956801530', '956801620', '956801710', '956801800', '956801890']",InStock,https://www.myer.com.au/p/reserve-vincent-long-sleeve-check-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956984320,Harris Long Sleeve Stripe Shirt in Navy,Reserve,reserve-harris-long-sleve-stripe-shirt-in-navy,"['956797390', '956797480', '956797570', '956797660', '956797750']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956984140,Harris Long Sleeve Stripe Shirt in Green,Reserve,reserve-harris-long-sleeve-stripe-shirt-in-green,"['956753560', '956771650', '956771740', '956771830', '956771920', '956772010']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956984230,Harris Long Sleeve Stripe Shirt in Blue,Reserve,reserve-harris-long-sleeve-stripe-shirt-in-blue,"['956753650', '956796940', '956797030', '956797120', '956797210', '956797300']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956984410,Harris Long Sleeve Stripe Shirt in Red,Reserve,reserve-harris-long-sleeve-stripe-shirt-in-red,"['956753830', '956797840', '956797930', '956798020', '956798110', '956798200']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956985400,Rundale Long Sleeve Check Shirt in Green,Reserve,reserve-rundale-long-sleeve-check-shirt-in-green,"['956754910', '956822050', '956822140', '956822230', '956822320', '956822410']",InStock,https://www.myer.com.au/p/reserve-rundale-long-sleeve-check-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956985310,Rundale Long Sleeve Check Shirt in Navy,Reserve,reserve-rundale-long-sleeve-check-shirt-in-navy,"['956754820', '956821600', '956821690', '956821780', '956821870', '956821960']",InStock,https://www.myer.com.au/p/reserve-rundale-long-sleeve-check-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
980250130,1985 Knit Solid Long Sleeve Shirt in White,Tommy Hilfiger,tommy-hilfiger-1985-knit-solid-long-sleve-shirt-in-white-980250130-1,"['980219980', '980220070', '980220160', '980220250', '980220340', '980220430']",InStock,https://www.myer.com.au/p/tommy-hilfiger-1985-knit-solid-long-sleve-shirt-in-white-980250130-1,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
960774040,Alec Linen Long Sleeve Shirt in Green,Maddox,maddox-alec-linen-long-sleeve-shirt-in-green,"['960697900', '960712750', '960712840', '960712930', '960713020', '960713110']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960774130,Alec Linen Long Sleeve Shirt in Navy,Maddox,maddox-alec-linen-long-sleeve-shirt-in-navy,"['960697990', '960713200', '960713290', '960713380', '960713470', '960713560']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960773950,Alec Linen Long Sleeve Shirt in Beige,Maddox,maddox-alec-linen-long-sleeve-shirt-in-beige,"['960697810', '960712300', '960712390', '960712480', '960712570', '960712660']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960773860,Alec Linen Long Sleeve Shirt in Orange,Maddox,maddox-alec-linen-long-sleeve-shirt-in-orange,"['960697720', '960711850', '960711940', '960712030', '960712120', '960712210']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
985925080,Brushed Check Overshirt Light Grey Heather/Multi,Tommy Hilfiger,tommy-hilfiger-brushed-check-overshirt-light-grey-heather-multi,"['985933270', '985933360', '985933450', '985933540', '985933630']",InStock,https://www.myer.com.au/p/tommy-hilfiger-brushed-check-overshirt-light-grey-heather-multi,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
930703510,Non-Iron Check Long Sleeve Shirt in Pink,Gazman,gazman-non-iron-check-long-sleve-shirt-in-pink,"['930690640', '930690730', '930690820', '930690910', '930691000']",InStock,https://www.myer.com.au/p/gazman-non-iron-check-long-sleve-shirt-in-pink,"['S', 'M', 'L', 'XL', 'XXL']"
978391450,Authentic Twill Long Sleeve Shirt in Navy,Gazman,gazman-authentic-twill-long-sleeve-shirt-in-navy,"['978356800', '978356890', '978356980', '978357070', '978357160']",InStock,https://www.myer.com.au/p/gazman-authentic-twill-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL']"
978391270,Authentic Twill Long Sleeve Shirt Dark in Olive,Gazman,gazman-authentic-twill-long-sleeve-shirt-dark-in-olive,"['978355990', '978356080', '978356170']",InStock,https://www.myer.com.au/p/gazman-authentic-twill-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL']"
978391540,Authentic Twill Long Sleeve Shirt in Wine,Gazman,gazman-authentic-twill-long-sleeve-shirt-in-wine,"['978357250', '978357340', '978357430', '978357520', '978357610']",InStock,https://www.myer.com.au/p/gazman-authentic-twill-long-sleeve-shirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL']"
992475190,Regular Tartan Check Shirt in Dry Sand,Gant,gant-regular-tartan-check-shirt-in-dry-sand,"['993646180', '993646270', '993646360', '993646450', '993646540', '993646630']",InStock,https://www.myer.com.au/p/gant-regular-tartan-check-shirt-in-dry-sand,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
986397130,Wool Blend Overshirt in Evening Blue,Gant,gant-wol-blend-overshirt-in-evening-blue,"['986397760', '986397850', '986397940', '986398030', '986398120']",InStock,https://www.myer.com.au/p/gant-wol-blend-overshirt-in-evening-blue,"['S', 'M', 'L', 'XL', 'XXL']"
954330400_954322390,Oxford Slim Fit Shirt in Khaki,French Connection,french-connection-oxford-slim-fit-shirt-in-khaki,"['954322390', '954322480', '954322570', '954322660', '954322750', '954322840']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
954330400_954321850,Oxford Slim Fit Shirt in Sky Blue,French Connection,french-connection-oxford-slim-fit-shirt-in-sky-blue,"['954321850', '954321940', '954322030', '954322120', '954322210', '954322300']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
990504190,Oxford Slim Fit Shirt in tan,French Connection,french-connection-oxford-slim-fit-shirt-in-tan,"['990499870', '990499960', '990500050', '990500140', '990500230']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
805044520,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-805044520-1,"['805025260', '805025350', '805025440', '805025530', '805025620', '805025710']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
740481940_740498140,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-740481940-740498140-1,"['740498140', '740498230', '740498320', '740498410', '740498500', '740498590']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
740481940_740497600,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-740481940-740497600-1,"['740497600', '740497690', '740497780', '740497870', '740497960', '740498050']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
740481940_740497060,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt,"['740497060', '740497150', '740497240', '740497330', '740497420', '740497510']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
991627390_991622890,Oxford Slim Fit Shirt in Brown,French Connection,french-connection-oxford-slim-fit-shirt-in-brown,"['991622890', '991622980', '991623070', '991623160', '991623250']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
997838110,Oxford Slim Fit Shirt in Burgundy,French Connection,french-connection-oxford-slim-fit-shirt-in-burgundy,"['997829020', '997829110', '997829200', '997829290']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
991627390_991622350,Oxford Slim Fit Shirt in Cream,French Connection,french-connection-oxford-slim-fit-shirt-in-cream-991627390-991622350--1,"['991622530', '991622620', '991622710']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
759201670,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-759201670-1,['759195460'],InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-sky-blue,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
960774040,Alec Linen Long Sleeve Shirt in Green,Maddox,maddox-alec-linen-long-sleeve-shirt-in-green,"['960697900', '960712750', '960712840', '960712930', '960713020', '960713110']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-beige,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960774130,Alec Linen Long Sleeve Shirt in Navy,Maddox,maddox-alec-linen-long-sleeve-shirt-in-navy,"['960697990', '960713200', '960713290', '960713380', '960713470', '960713560']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-beige,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960773950,Alec Linen Long Sleeve Shirt in Beige,Maddox,maddox-alec-linen-long-sleeve-shirt-in-beige,"['960697810', '960712300', '960712390', '960712480', '960712570', '960712660']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-beige,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960773860,Alec Linen Long Sleeve Shirt in Orange,Maddox,maddox-alec-linen-long-sleeve-shirt-in-orange,"['960697720', '960711850', '960711940', '960712030', '960712120', '960712210']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-beige,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
891232390,Tony Corduroy Shirt in Brown,Blazer,blazer-tony-corduroy-shirt-in-brown,"['891225010', '891225100', '891225190', '891225280', '891225370']",InStock,https://www.myer.com.au/p/blazer-tony-corduroy-shirt-in-brown,"['S', 'M', 'L', 'XL', 'XXL']"
891232300,Tony Corduroy Shirt in Black,Blazer,blazer-tony-corduroy-shirt-in-black,"['891224560', '891224650', '891224740', '891224830', '891224920']",InStock,https://www.myer.com.au/p/blazer-tony-corduroy-shirt-in-brown,"['S', 'M', 'L', 'XL', 'XXL']"
891436240,Easy Care Twill Check Shirt in Green,Gazman,gazman-easy-care-twill-check-shirt-in-green,"['891423550', '891423640', '891423730', '891423820', '891423910']",InStock,https://www.myer.com.au/p/gazman-easy-care-twill-check-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL']"
982652230,Miller Wool Overshirt in Onyx Check,Superdry,superdry-miller-wool-overshirt-in-onyx-check,"['982642330', '982642420', '982642510', '982642600', '982642690']",InStock,https://www.myer.com.au/p/superdry-miller-wool-overshirt-in-onyx-check,"['S', 'M', 'L', 'XL', 'XXL']"
928331650,Signature Organic Oxford Long Sleeve Shirt in Barely Black,Ben Sherman,ben-sherman-signature-organic-oxford-long-sleve-shirt-in-barely-black,"['928315000', '928315090', '928315180', '928315270', '928315360']",InStock,https://www.myer.com.au/p/ben-sherman-signature-oxford-shirt-long-sleve-shirt,"['S', 'M', 'L', 'XL', 'XXL']"
836269930,Signature Oxford Shirt Long Sleeve Shirt Dark Navy,Ben Sherman,ben-sherman-signature-oxford-shirt-long-sleve-shirt,"['836264170', '836264260', '836264350', '836264440', '836264530']",InStock,https://www.myer.com.au/p/ben-sherman-signature-oxford-shirt-long-sleve-shirt,"['S', 'M', 'L', 'XL', 'XXL']"
992479150,Original Pique Long Sleeve Rugger in White,Gant,gant-original-pique-long-sleeve-rugger-in-white,"['993671290', '993671380', '993671470', '993671560', '993671650', '993671740', '993671830', '993671920', '993672010']",InStock,https://www.myer.com.au/p/gant-original-pique-long-sleeve-rugger-in-white,"['XS', 'S', 'M', 'L', 'XL', 'XXL', 'XXXL', 'XXXXL', 'XXXXXL']"
826586470,The Original Pique Long Sleeve Rugger Polo Top in Black,Gant,gant-the-original-pique-long-sleve-rugger-polo-top,"['826590880', '826590970', '826591060', '826591150', '826591240']",InStock,https://www.myer.com.au/p/gant-original-pique-long-sleeve-rugger-in-white,"['XS', 'S', 'M', 'L', 'XL', 'XXL', 'XXXL', 'XXXXL', 'XXXXXL']"
911595070,Original Pique Long Sleeve Rugger Evening Blue,Gant,gant-original-pique-long-sleve-rugger-evening-blue,"['911585980', '911586070', '911586160', '911586250', '911586340', '911586430', '911586520']",InStock,https://www.myer.com.au/p/gant-original-pique-long-sleeve-rugger-in-white,"['XS', 'S', 'M', 'L', 'XL', 'XXL', 'XXXL', 'XXXXL', 'XXXXXL']"
956984320,Harris Long Sleeve Stripe Shirt in Navy,Reserve,reserve-harris-long-sleve-stripe-shirt-in-navy,"['956797390', '956797480', '956797570', '956797660', '956797750']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-blue,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956984140,Harris Long Sleeve Stripe Shirt in Green,Reserve,reserve-harris-long-sleeve-stripe-shirt-in-green,"['956753560', '956771650', '956771740', '956771830', '956771920', '956772010']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-blue,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956984230,Harris Long Sleeve Stripe Shirt in Blue,Reserve,reserve-harris-long-sleeve-stripe-shirt-in-blue,"['956753650', '956796940', '956797030', '956797120', '956797210', '956797300']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-blue,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
956984410,Harris Long Sleeve Stripe Shirt in Red,Reserve,reserve-harris-long-sleeve-stripe-shirt-in-red,"['956753830', '956797840', '956797930', '956798020', '956798110', '956798200']",InStock,https://www.myer.com.au/p/reserve-harris-long-sleeve-stripe-shirt-in-blue,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
978396130,Brushed Twill Melange Check Long Sleeve Shirt in Blue,Gazman,gazman-brushed-twill-melange-check-long-sleeve-shirt-in-blue,"['978380200', '978380290', '978380380', '978380470', '978380560']",InStock,https://www.myer.com.au/p/gazman-brushed-twill-melange-check-long-sleeve-shirt-in-blue,"['S', 'M', 'L', 'XL', 'XXL']"
978396040,Brushed Twill Melange Check Long Sleeve Shirt in Olive,Gazman,gazman-brushed-twill-melange-check-long-sleeve-shirt-in-olive,"['978379750', '978379840', '978379930', '978380020', '978380110']",InStock,https://www.myer.com.au/p/gazman-brushed-twill-melange-check-long-sleeve-shirt-in-blue,"['S', 'M', 'L', 'XL', 'XXL']"
960774940,Finn Long Sleeve Cord Overshirt in Green,Maddox,maddox-finn-long-sleeve-cord-overshirt-in-green,"['960698800', '960717700', '960717790', '960717880', '960717970']",InStock,https://www.myer.com.au/p/maddox-finn-long-sleeve-cord-overshirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960774850,Finn Long Sleeve Cord Overshirt in Grey,Maddox,maddox-finn-long-sleeve-cord-overshirt-in-grey,"['960698710', '960717250', '960717340', '960717430', '960717520']",InStock,https://www.myer.com.au/p/maddox-finn-long-sleeve-cord-overshirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
978390820,Double Faced Gingham Long Sleeve Shirt in Blue/Sage,Gazman,gazman-double-faced-gingham-long-sleeve-shirt-in-blue-sage,"['978353650', '978353740', '978353830', '978353920', '978354010']",InStock,https://www.myer.com.au/p/gazman-double-faced-gingham-long-sleeve-shirt-in-midnight,"['S', 'M', 'L', 'XL', 'XXL']"
978390730,Double Faced Gingham Long Sleeve Shirt in Midnight,Gazman,gazman-double-faced-gingham-long-sleeve-shirt-in-midnight,"['978353200', '978353290', '978353380', '978353470', '978353560']",InStock,https://www.myer.com.au/p/gazman-double-faced-gingham-long-sleeve-shirt-in-midnight,"['S', 'M', 'L', 'XL', 'XXL']"
978390910,Double Faced Gingham Long Sleeve Shirt in Winter Yellow,Gazman,gazman-double-faced-gingham-long-sleeve-shirt-in-winter-yellow,"['978354100', '978354190', '978354280', '978354370', '978354460']",InStock,https://www.myer.com.au/p/gazman-double-faced-gingham-long-sleeve-shirt-in-midnight,"['S', 'M', 'L', 'XL', 'XXL']"
978390550,Double Faced Gingham Long Sleeve Shirt in Burgundy,Gazman,gazman-double-faced-gingham-long-sleeve-shirt-in-burgundy,"['978352300', '978352390', '978352480', '978352570', '978352660']",InStock,https://www.myer.com.au/p/gazman-double-faced-gingham-long-sleeve-shirt-in-midnight,"['S', 'M', 'L', 'XL', 'XXL']"
978390640,Double Faced Gingham Long Sleeve Shirt in Light Grey,Gazman,gazman-double-faced-gingham-long-sleeve-shirt-in-light-grey,"['978352750', '978352840', '978352930', '978353020', '978353110']",InStock,https://www.myer.com.au/p/gazman-double-faced-gingham-long-sleeve-shirt-in-midnight,"['S', 'M', 'L', 'XL', 'XXL']"
